Chest width (inch),Chest width (cm),Hip width (inch),Hip width (cm),US jacket size,EU jacket size
"29""-30""",74-77,"33""-34""",84-87,XXS,32
"31""-32""",78-81,"35""-36""",88-91,XS,34
"32""-33""",82-85,"36""-37""",92-95,S,36
"33""-34""",86-89,"37""-38""",96-98,M,38
"34""-36""",90-93,"39""-40""",99-101,L,40
"37""-38""",94-97,"40""-41""",102-104,L,42
"38""-39""",98-102,"41""-42""",105-108,XL,44
"40""-41""",103-107,"43""-44""",109-112,XL,46
"42""-43""",108-113,"45""-46""",113-116,XXL,48
"44""-46""",114-119,"47""-48""",117-121,XXL,50
"47""-48""",120-125,"48""-49""",122-126,3XL,52
"49""-50""",126-131,"50""-51""",127-132,3XL,54
"50""-52""",132-137,"52""-53""",133-138,4XL,56
"53""-54""",138-143,"54""-55""",139-144,4XL,58
"55""-57""",144-149,"56""-58""",145-150,5XL,60
"58""-60""",150-155,"59""-60""",151-156,5XL,62
